ID_VENDA	Data_venda	ID_cliente	ID_PRODUTO	ID_VENDEDOR	Quantidade	Valor Unitário	Valor Total
60	22/10/2026	DS-SC	DN19	NABIKI	1	R$ 26,00	R$ 26,00
61	25/04/2026	UKYOKU	DN26	USAGI	5	R$ 122,00	R$ 610,00
62	06/04/2026	SPDSTB	DN25	NARAKI	1	R$ 933,00	R$ 933,00
63	27/11/2026	TNSHHN	DN03	USAGI	10	R$ 28,00	R$ 280,00
64	13/09/2026	DS-SRA	DN16	NABIKI	5	R$ 24,00	R$ 120,00
65	06/10/2026	DBZ241	DN23	RYUK	2	R$ 145,00	R$ 290,00
66	07/08/2026	NAOMIS	DN02	ANNA	5	R$ 29,00	R$ 145,00
67	02/11/2026	ARMTTN	DN03	ANNA	7	R$ 28,00	R$ 196,00
68	20/07/2026	AOTMOD	DN33	NARAKI	2	R$ 234,00	R$ 468,00
69	08/02/2026	WLLTTN	DN10	RYUK	1	R$ 12,00	R$ 12,00
70	22/09/2026	KIRA02	DN29	ANNA	10	R$ 224,00	R$ 2.240,00
71	19/06/2026	ARMTTN	DN25	ANNA	9	R$ 933,00	R$ 8.397,00
72	03/05/2026	NAOMIS	DN35	ANNA	2	R$ 245,00	R$ 490,00
73	25/07/2026	WLLTTN	DN24	USAGI	10	R$ 136,00	R$ 1.360,00
74	13/10/2026	IBRAKI	DN09	NARAKI	9	R$ 2,00	R$ 18,00
75	01/12/2026	KIRA04	DN31	ANNA	2	R$ 444,00	R$ 888,00
76	03/10/2026	AOTMOD	DN05	ANNA	2	R$ 11,00	R$ 22,00
77	13/08/2026	MNCT02	DN33	USAGI	3	R$ 234,00	R$ 702,00
78	29/05/2026	UKYOKU	DN20	NABIKI	6	R$ 86,00	R$ 516,00
79	02/11/2026	DS-FESD	DN10	ANNA	6	R$ 12,00	R$ 72,00
80	26/06/2026	MNCT02	DN11	ANNA	2	R$ 178,00	R$ 356,00
81	30/04/2026	XXLTTN	DN25	RYUK	8	R$ 933,00	R$ 7.464,00
82	16/09/2026	TNSHHN	DN12	USAGI	8	R$ 129,00	R$ 1.032,00
83	15/01/2026	EREH69	DN05	NABIKI	3	R$ 11,00	R$ 33,00
84	13/04/2026	SANGOU	DN03	NARAKI	9	R$ 28,00	R$ 252,00
85	26/06/2026	DS-FESD	DN04	NARAKI	8	R$ 28,00	R$ 224,00
86	18/10/2026	EREH69	DN15	ANNA	2	R$ 754,00	R$ 1.508,00
87	21/05/2026	DIO069	DN12	NABIKI	9	R$ 129,00	R$ 1.161,00
88	12/09/2026	TNSHHN	DN23	NARAKI	1	R$ 145,00	R$ 145,00
89	09/04/2026	DBZ241	DN33	SOUN	7	R$ 234,00	R$ 1.638,00
90	08/12/2026	DIO069	DN30	NARAKI	4	R$ 122,00	R$ 488,00
91	26/10/2026	IBRAKI	DN28	NABIKI	4	R$ 223,00	R$ 892,00
92	10/06/2026	KIRA03	DN30	USAGI	8	R$ 122,00	R$ 976,00
93	24/04/2026	IBRAKI	DN25	NARAKI	2	R$ 933,00	R$ 1.866,00
94	18/01/2026	KIRA02	DN20	NABIKI	10	R$ 86,00	R$ 860,00
95	16/12/2026	IBRAKI	DN09	SOUN	10	R$ 2,00	R$ 20,00
96	28/07/2026	ARMTTN	DN07	ANNA	5	R$ 23,00	R$ 115,00
97	10/03/2026	KIRA04	DN18	RYUK	10	R$ 13,00	R$ 130,00
98	01/12/2026	ARMTTN	DN32	ANNA	4	R$ 22,00	R$ 88,00
99	09/01/2026	AGOME1	DN07	NARAKI	4	R$ 23,00	R$ 92,00
100	28/07/2026	DS-SC	DN04	NARAKI	1	R$ 28,00	R$ 28,00
101	07/08/2026	ARMTTN	DN25	SOUN	7	R$ 933,00	R$ 6.531,00
102	13/05/2026	DS-SC	DN01	RYUK	2	R$ 200,00	R$ 400,00
103	26/03/2026	SANGOU	DN02	SOUN	8	R$ 29,00	R$ 232,00
104	08/10/2026	DS-FESD	DN34	NARAKI	3	R$ 863,00	R$ 2.589,00
105	02/07/2026	DS-FESD	DN13	RYUK	10	R$ 834,00	R$ 8.340,00
106	19/09/2026	KIRA03	DN31	NABIKI	1	R$ 444,00	R$ 444,00
107	02/08/2026	DIO069	DN12	NABIKI	7	R$ 129,00	R$ 903,00
108	02/11/2026	DS-SRA	DN11	NABIKI	4	R$ 178,00	R$ 712,00
109	01/04/2026	IBRAKI	DN08	NARAKI	5	R$ 83,00	R$ 415,00
110	21/07/2026	DS-SRA	DN35	SOUN	1	R$ 245,00	R$ 245,00
111	06/06/2026	SPDSTB	DN32	NABIKI	8	R$ 22,00	R$ 176,00
112	23/04/2026	AOTMOD	DN18	ANNA	2	R$ 13,00	R$ 26,00
113	17/10/2026	TNSHHN	DN12	SOUN	9	R$ 129,00	R$ 1.161,00
114	12/11/2026	DS-FESD	DN32	NABIKI	1	R$ 22,00	R$ 22,00
115	25/12/2026	SPDSTB	DN04	RYUK	7	R$ 28,00	R$ 196,00
116	04/03/2026	WLLTTN	DN10	ANNA	3	R$ 12,00	R$ 36,00
117	30/07/2026	DS-SRA	DN06	NABIKI	5	R$ 62,00	R$ 310,00
118	30/05/2026	TNSHHN	DN06	RYUK	4	R$ 62,00	R$ 248,00
119	14/06/2026	DIO069	DN15	RYUK	4	R$ 754,00	R$ 3.016,00
120	23/03/2026	ARMTTN	DN09	USAGI	9	R$ 2,00	R$ 18,00
121	26/10/2026	XXLTTN	DN17	SOUN	8	R$ 256,00	R$ 2.048,00
122	08/02/2026	UKYOKU	DN23	NABIKI	1	R$ 145,00	R$ 145,00
123	10/04/2026	TNSHHN	DN25	ANNA	4	R$ 933,00	R$ 3.732,00
124	04/03/2026	KIRA04	DN15	RYUK	2	R$ 754,00	R$ 1.508,00
125	01/05/2026	EREH69	DN31	NARAKI	7	R$ 444,00	R$ 3.108,00
126	28/04/2026	KIRA04	DN16	USAGI	1	R$ 24,00	R$ 24,00
127	07/06/2026	SANGOU	DN05	SOUN	10	R$ 11,00	R$ 110,00
128	06/04/2026	DS-SC	DN11	ANNA	2	R$ 178,00	R$ 356,00
129	27/08/2026	MNCT02	DN02	NARAKI	6	R$ 29,00	R$ 174,00
130	07/08/2026	IBRAKI	DN30	RYUK	2	R$ 122,00	R$ 244,00
131	23/07/2026	AGOME1	DN32	USAGI	9	R$ 22,00	R$ 198,00
132	07/12/2026	DS-FESD	DN21	NABIKI	5	R$ 70,00	R$ 350,00
133	21/08/2026	KIRA03	DN13	RYUK	4	R$ 834,00	R$ 3.336,00
134	09/03/2026	MNCT02	DN07	SOUN	9	R$ 23,00	R$ 207,00
135	21/08/2026	DIO069	DN27	RYUK	9	R$ 556,00	R$ 5.004,00
136	23/05/2026	MNCT02	DN25	NABIKI	5	R$ 933,00	R$ 4.665,00
137	22/04/2026	DS-SC	DN31	NABIKI	1	R$ 444,00	R$ 444,00
138	08/10/2026	MNCT02	DN34	NABIKI	1	R$ 863,00	R$ 863,00
139	06/12/2026	ARMTTN	DN30	USAGI	2	R$ 122,00	R$ 244,00
140	25/12/2026	KIRA02	DN06	NABIKI	8	R$ 62,00	R$ 496,00
141	21/02/2026	UKYOKU	DN16	SOUN	5	R$ 24,00	R$ 120,00
142	20/04/2026	KIRA02	DN12	USAGI	5	R$ 129,00	R$ 645,00
143	11/01/2026	TNSHHN	DN15	ANNA	7	R$ 754,00	R$ 5.278,00
144	08/07/2026	MNCT02	DN07	NARAKI	3	R$ 23,00	R$ 69,00
145	03/10/2026	XXLTTN	DN16	SOUN	4	R$ 24,00	R$ 96,00
146	19/06/2026	WLLTTN	DN16	RYUK	4	R$ 24,00	R$ 96,00
147	29/04/2026	EREH69	DN31	ANNA	10	R$ 444,00	R$ 4.440,00
148	04/02/2026	KIRA02	DN20	RYUK	4	R$ 86,00	R$ 344,00
149	04/04/2026	IBRAKI	DN05	USAGI	2	R$ 11,00	R$ 22,00
150	22/05/2026	ARMTTN	DN10	NABIKI	6	R$ 12,00	R$ 72,00
151	01/08/2026	TNSHHN	DN24	USAGI	5	R$ 136,00	R$ 680,00
152	18/09/2026	AGOME1	DN17	RYUK	10	R$ 256,00	R$ 2.560,00
153	22/09/2026	KIRA04	DN11	SOUN	4	R$ 178,00	R$ 712,00
154	11/05/2026	DIO069	DN19	SOUN	6	R$ 26,00	R$ 156,00
155	22/08/2026	DIO069	DN01	NABIKI	3	R$ 200,00	R$ 600,00
156	19/04/2026	AGOME1	DN06	NABIKI	10	R$ 62,00	R$ 620,00
157	14/11/2026	SAKURA	DN29	RYUK	5	R$ 224,00	R$ 1.120,00
158	08/09/2026	SPDSTB	DN19	USAGI	1	R$ 26,00	R$ 26,00
159	23/12/2026	AOTMOD	DN08	NABIKI	3	R$ 83,00	R$ 249,00
160	16/10/2026	DIO069	DN14	USAGI	6	R$ 64,00	R$ 384,00
161	22/09/2026	KIRA04	DN35	RYUK	6	R$ 245,00	R$ 1.470,00
162	22/06/2026	DS-MB	DN27	NARAKI	7	R$ 556,00	R$ 3.892,00
163	08/01/2026	SAKURA	DN20	SOUN	8	R$ 86,00	R$ 688,00
164	07/10/2026	XXLTTN	DN13	NARAKI	3	R$ 834,00	R$ 2.502,00
165	24/09/2026	KIRA02	DN30	NABIKI	7	R$ 122,00	R$ 854,00
166	18/10/2026	EREH69	DN35	NABIKI	3	R$ 245,00	R$ 735,00
167	07/03/2026	MNCT02	DN06	NARAKI	4	R$ 62,00	R$ 248,00
168	18/08/2026	IBRAKI	DN14	SOUN	3	R$ 64,00	R$ 192,00
169	26/11/2026	TNSHHN	DN10	ANNA	5	R$ 12,00	R$ 60,00
170	17/09/2026	DS-SRA	DN22	USAGI	5	R$ 26,00	R$ 130,00
171	22/03/2026	SANGOU	DN30	NABIKI	8	R$ 122,00	R$ 976,00
172	30/09/2026	NAOMIS	DN14	NABIKI	4	R$ 64,00	R$ 256,00
173	16/07/2026	NAOMIS	DN16	SOUN	3	R$ 24,00	R$ 72,00
174	07/03/2026	DS-MB	DN33	NARAKI	9	R$ 234,00	R$ 2.106,00
175	20/12/2026	DS-SC	DN12	NARAKI	8	R$ 129,00	R$ 1.032,00
176	23/10/2026	IBRAKI	DN28	USAGI	3	R$ 223,00	R$ 669,00
177	03/01/2026	UKYOKU	DN14	RYUK	2	R$ 64,00	R$ 128,00
178	01/01/2027	UKYOKU	DN25	USAGI	7	R$ 933,00	R$ 6.531,00
179	27/09/2026	WLLTTN	DN31	SOUN	8	R$ 444,00	R$ 3.552,00
180	17/01/2026	WLLTTN	DN35	NARAKI	4	R$ 245,00	R$ 980,00
181	31/07/2026	KIRA04	DN09	NABIKI	4	R$ 2,00	R$ 8,00
182	09/04/2026	EREH69	DN14	USAGI	8	R$ 64,00	R$ 512,00
183	09/03/2026	DBZ241	DN16	NABIKI	2	R$ 24,00	R$ 48,00
184	26/03/2026	WLLTTN	DN19	NABIKI	5	R$ 26,00	R$ 130,00
185	21/10/2026	ARMTTN	DN22	RYUK	6	R$ 26,00	R$ 156,00
186	01/01/2027	AGOME1	DN22	RYUK	1	R$ 26,00	R$ 26,00
187	18/06/2026	DBZ241	DN26	NARAKI	4	R$ 122,00	R$ 488,00
188	06/06/2026	DBZ241	DN17	RYUK	9	R$ 256,00	R$ 2.304,00
189	05/12/2026	DS-SC	DN07	RYUK	8	R$ 23,00	R$ 184,00
190	14/09/2026	SPDSTB	DN08	NARAKI	7	R$ 83,00	R$ 581,00
191	21/02/2026	DS-SC	DN27	NARAKI	4	R$ 556,00	R$ 2.224,00
192	31/12/2026	DIO069	DN29	SOUN	2	R$ 224,00	R$ 448,00
193	17/12/2026	KIRA04	DN31	NABIKI	9	R$ 444,00	R$ 3.996,00
194	29/06/2026	SAKURA	DN29	USAGI	3	R$ 224,00	R$ 672,00
195	15/02/2026	KIRA04	DN14	USAGI	8	R$ 64,00	R$ 512,00
196	02/11/2026	IBRAKI	DN11	ANNA	9	R$ 178,00	R$ 1.602,00
197	28/07/2026	AOTMOD	DN23	ANNA	9	R$ 145,00	R$ 1.305,00
198	16/02/2026	UKYOKU	DN03	NARAKI	1	R$ 28,00	R$ 28,00
199	09/08/2026	TNSHHN	DN12	SOUN	4	R$ 129,00	R$ 516,00
200	21/01/2026	DS-SRA	DN22	ANNA	10	R$ 26,00	R$ 260,00
201	06/04/2026	AGOME1	DN31	ANNA	3	R$ 444,00	R$ 1.332,00
202	27/04/2026	IBRAKI	DN33	USAGI	5	R$ 234,00	R$ 1.170,00
203	12/04/2026	DBZ241	DN30	USAGI	5	R$ 122,00	R$ 610,00
204	26/07/2026	DBZ241	DN24	USAGI	8	R$ 136,00	R$ 1.088,00
205	30/12/2026	ARMTTN	DN10	NARAKI	8	R$ 12,00	R$ 96,00
206	27/06/2026	DS-SRA	DN15	USAGI	4	R$ 754,00	R$ 3.016,00
207	23/07/2026	ARMTTN	DN16	NABIKI	5	R$ 24,00	R$ 120,00
208	02/10/2026	UKYOKU	DN01	SOUN	8	R$ 200,00	R$ 1.600,00
209	10/06/2026	SPDSTB	DN15	NABIKI	10	R$ 754,00	R$ 7.540,00
210	23/10/2026	DS-FESD	DN13	ANNA	10	R$ 834,00	R$ 8.340,00
211	15/05/2026	DBZ241	DN02	USAGI	10	R$ 29,00	R$ 290,00
212	14/10/2026	UKYOKU	DN28	NARAKI	3	R$ 223,00	R$ 669,00
213	20/02/2026	KIRA02	DN07	NABIKI	4	R$ 23,00	R$ 92,00
214	25/02/2026	EREH69	DN23	SOUN	3	R$ 145,00	R$ 435,00
215	06/02/2026	TNSHHN	DN07	NARAKI	1	R$ 23,00	R$ 23,00
216	13/05/2026	DIO069	DN29	ANNA	10	R$ 224,00	R$ 2.240,00
217	22/02/2026	UKYOKU	DN13	NABIKI	1	R$ 834,00	R$ 834,00
218	08/08/2026	MNCT02	DN34	NARAKI	8	R$ 863,00	R$ 6.904,00
219	15/06/2026	KIRA02	DN20	NABIKI	10	R$ 86,00	R$ 860,00
220	16/03/2026	XXLTTN	DN10	RYUK	9	R$ 12,00	R$ 108,00
221	27/03/2026	AGOME1	DN23	RYUK	7	R$ 145,00	R$ 1.015,00
222	03/04/2026	WLLTTN	DN28	ANNA	2	R$ 223,00	R$ 446,00
223	25/11/2026	AOTMOD	DN15	NARAKI	9	R$ 754,00	R$ 6.786,00
224	07/12/2026	DS-MB	DN09	USAGI	6	R$ 2,00	R$ 12,00
225	09/01/2026	DBZ241	DN23	NARAKI	9	R$ 145,00	R$ 1.305,00
226	14/10/2026	MNCT02	DN04	NARAKI	3	R$ 28,00	R$ 84,00
227	17/02/2026	DBZ241	DN29	RYUK	9	R$ 224,00	R$ 2.016,00
228	13/05/2026	SPDSTB	DN33	ANNA	1	R$ 234,00	R$ 234,00
229	07/05/2026	KIRA02	DN18	USAGI	7	R$ 13,00	R$ 91,00
230	07/08/2026	KIRA03	DN30	NARAKI	6	R$ 122,00	R$ 732,00
231	13/01/2026	XXLTTN	DN18	USAGI	3	R$ 13,00	R$ 39,00
232	03/01/2026	ARMTTN	DN10	RYUK	2	R$ 12,00	R$ 24,00
233	23/02/2026	DIO069	DN23	SOUN	10	R$ 145,00	R$ 1.450,00
234	27/12/2026	DIO069	DN25	ANNA	10	R$ 933,00	R$ 9.330,00
235	10/07/2026	DS-SRA	DN09	NABIKI	5	R$ 2,00	R$ 10,00
236	13/08/2026	ARMTTN	DN16	NARAKI	3	R$ 24,00	R$ 72,00
237	19/10/2026	NAOMIS	DN16	ANNA	10	R$ 24,00	R$ 240,00
238	28/11/2026	IBRAKI	DN08	USAGI	8	R$ 83,00	R$ 664,00
239	19/03/2026	ARMTTN	DN01	RYUK	2	R$ 200,00	R$ 400,00
240	24/03/2026	SAKURA	DN34	SOUN	2	R$ 863,00	R$ 1.726,00
241	30/04/2026	XXLTTN	DN28	NABIKI	4	R$ 223,00	R$ 892,00
242	17/09/2026	DBZ241	DN15	SOUN	9	R$ 754,00	R$ 6.786,00
243	15/02/2026	DIO069	DN14	SOUN	10	R$ 64,00	R$ 640,00
244	12/04/2026	DBZ241	DN21	RYUK	4	R$ 70,00	R$ 280,00
245	10/02/2026	DS-SRA	DN35	RYUK	7	R$ 245,00	R$ 1.715,00
246	05/02/2026	SANGOU	DN18	RYUK	6	R$ 13,00	R$ 78,00
247	09/04/2026	UKYOKU	DN28	SOUN	4	R$ 223,00	R$ 892,00
248	12/08/2026	SAKURA	DN08	NABIKI	5	R$ 83,00	R$ 415,00
249	30/11/2026	TNSHHN	DN29	NABIKI	1	R$ 224,00	R$ 224,00
250	05/03/2026	DS-MB	DN01	NABIKI	8	R$ 200,00	R$ 1.600,00
251	30/10/2026	AGOME1	DN07	NARAKI	3	R$ 23,00	R$ 69,00
252	28/06/2026	SANGOU	DN22	SOUN	1	R$ 26,00	R$ 26,00
253	03/06/2026	UKYOKU	DN18	NABIKI	4	R$ 13,00	R$ 52,00
254	07/01/2026	ARMTTN	DN24	ANNA	7	R$ 136,00	R$ 952,00
255	22/05/2026	KIRA04	DN31	USAGI	4	R$ 444,00	R$ 1.776,00
256	08/08/2026	KIRA04	DN15	RYUK	9	R$ 754,00	R$ 6.786,00
257	12/01/2026	SAKURA	DN28	NARAKI	6	R$ 223,00	R$ 1.338,00
258	09/07/2026	SAKURA	DN23	USAGI	4	R$ 145,00	R$ 580,00
259	31/08/2026	AOTMOD	DN11	RYUK	8	R$ 178,00	R$ 1.424,00
260	20/03/2026	IBRAKI	DN30	SOUN	8	R$ 122,00	R$ 976,00
261	18/05/2026	IBRAKI	DN01	SOUN	5	R$ 200,00	R$ 1.000,00
262	24/05/2026	TNSHHN	DN32	ANNA	6	R$ 22,00	R$ 132,00
263	22/06/2026	SANGOU	DN06	ANNA	4	R$ 62,00	R$ 248,00
264	10/05/2026	IBRAKI	DN15	SOUN	10	R$ 754,00	R$ 7.540,00
265	02/11/2026	IBRAKI	DN29	RYUK	9	R$ 224,00	R$ 2.016,00
266	16/04/2026	SANGOU	DN27	NABIKI	1	R$ 556,00	R$ 556,00
267	17/03/2026	XXLTTN	DN09	ANNA	8	R$ 2,00	R$ 16,00
268	22/04/2026	XXLTTN	DN13	SOUN	4	R$ 834,00	R$ 3.336,00
269	06/05/2026	KIRA03	DN03	USAGI	6	R$ 28,00	R$ 168,00
270	03/02/2026	KIRA02	DN11	RYUK	1	R$ 178,00	R$ 178,00
271	06/02/2026	WLLTTN	DN15	RYUK	6	R$ 754,00	R$ 4.524,00
272	27/02/2026	KIRA02	DN12	SOUN	2	R$ 129,00	R$ 258,00
273	01/08/2026	KIRA02	DN24	NABIKI	10	R$ 136,00	R$ 1.360,00
274	14/08/2026	AOTMOD	DN09	USAGI	7	R$ 2,00	R$ 14,00
275	02/05/2026	TNSHHN	DN33	RYUK	5	R$ 234,00	R$ 1.170,00
276	30/09/2026	DS-SRA	DN14	USAGI	2	R$ 64,00	R$ 128,00
277	25/06/2026	SANGOU	DN05	ANNA	4	R$ 11,00	R$ 44,00
278	25/07/2026	SPDSTB	DN21	SOUN	6	R$ 70,00	R$ 420,00
279	20/12/2026	TNSHHN	DN14	RYUK	2	R$ 64,00	R$ 128,00
280	12/11/2026	IBRAKI	DN31	NARAKI	6	R$ 444,00	R$ 2.664,00
281	07/09/2026	MNCT02	DN18	NARAKI	2	R$ 13,00	R$ 26,00
282	22/04/2026	KIRA03	DN19	SOUN	7	R$ 26,00	R$ 182,00
283	21/08/2026	DIO069	DN06	ANNA	8	R$ 62,00	R$ 496,00
284	21/10/2026	UKYOKU	DN17	USAGI	10	R$ 256,00	R$ 2.560,00
285	26/07/2026	SANGOU	DN05	NABIKI	8	R$ 11,00	R$ 88,00
286	09/05/2026	EREH69	DN24	USAGI	9	R$ 136,00	R$ 1.224,00
287	12/04/2026	AGOME1	DN03	NABIKI	2	R$ 28,00	R$ 56,00
288	01/07/2026	DS-SC	DN30	SOUN	3	R$ 122,00	R$ 366,00
289	11/11/2026	DIO069	DN10	NABIKI	8	R$ 12,00	R$ 96,00
290	09/09/2026	MNCT02	DN06	RYUK	7	R$ 62,00	R$ 434,00
291	05/02/2026	ARMTTN	DN22	NABIKI	9	R$ 26,00	R$ 234,00
292	31/10/2026	MNCT02	DN12	NABIKI	2	R$ 129,00	R$ 258,00
293	13/06/2026	DIO069	DN12	RYUK	7	R$ 129,00	R$ 903,00
294	24/01/2026	AOTMOD	DN28	SOUN	1	R$ 223,00	R$ 223,00
295	03/09/2026	ARMTTN	DN19	ANNA	9	R$ 26,00	R$ 234,00
296	30/06/2026	SPDSTB	DN29	NARAKI	5	R$ 224,00	R$ 1.120,00
297	12/06/2026	AOTMOD	DN11	USAGI	7	R$ 178,00	R$ 1.246,00
298	05/07/2026	XXLTTN	DN28	NABIKI	7	R$ 223,00	R$ 1.561,00
299	19/06/2026	DS-SC	DN11	USAGI	4	R$ 178,00	R$ 712,00
300	14/10/2026	ARMTTN	DN24	SOUN	9	R$ 136,00	R$ 1.224,00
301	15/06/2026	TNSHHN	DN22	NABIKI	4	R$ 26,00	R$ 104,00
302	19/06/2026	XXLTTN	DN10	NARAKI	3	R$ 12,00	R$ 36,00
303	03/08/2026	SPDSTB	DN17	NARAKI	5	R$ 256,00	R$ 1.280,00
304	07/02/2026	DIO069	DN25	NABIKI	10	R$ 933,00	R$ 9.330,00
305	21/10/2026	NAOMIS	DN23	USAGI	8	R$ 145,00	R$ 1.160,00
306	22/01/2026	KIRA03	DN23	ANNA	9	R$ 145,00	R$ 1.305,00
307	10/09/2026	DS-SC	DN26	RYUK	10	R$ 122,00	R$ 1.220,00
308	14/05/2026	DS-SC	DN29	SOUN	4	R$ 224,00	R$ 896,00
309	05/09/2026	SPDSTB	DN03	NABIKI	9	R$ 28,00	R$ 252,00
310	27/11/2026	KIRA04	DN26	USAGI	5	R$ 122,00	R$ 610,00
311	12/11/2026	DIO069	DN21	RYUK	4	R$ 70,00	R$ 280,00
312	18/05/2026	ARMTTN	DN20	NARAKI	7	R$ 86,00	R$ 602,00
313	02/01/2026	KIRA03	DN31	RYUK	10	R$ 444,00	R$ 4.440,00
314	17/04/2026	EREH69	DN12	NABIKI	5	R$ 129,00	R$ 645,00
315	31/08/2026	SPDSTB	DN16	SOUN	2	R$ 24,00	R$ 48,00
316	09/09/2026	DS-SC	DN02	ANNA	1	R$ 29,00	R$ 29,00
317	09/05/2026	XXLTTN	DN16	NABIKI	10	R$ 24,00	R$ 240,00
318	07/09/2026	DS-SRA	DN32	NABIKI	7	R$ 22,00	R$ 154,00
319	27/11/2026	UKYOKU	DN20	USAGI	7	R$ 86,00	R$ 602,00
320	11/12/2026	DS-SRA	DN02	ANNA	1	R$ 29,00	R$ 29,00
321	06/08/2026	DS-MB	DN32	RYUK	3	R$ 22,00	R$ 66,00
322	29/03/2026	DS-SRA	DN03	RYUK	9	R$ 28,00	R$ 252,00
323	08/10/2026	IBRAKI	DN02	RYUK	9	R$ 29,00	R$ 261,00
324	24/11/2026	DS-SRA	DN23	NARAKI	6	R$ 145,00	R$ 870,00
325	19/12/2026	UKYOKU	DN01	SOUN	1	R$ 200,00	R$ 200,00
326	09/06/2026	DIO069	DN01	NABIKI	7	R$ 200,00	R$ 1.400,00
327	20/02/2026	DS-SRA	DN15	ANNA	7	R$ 754,00	R$ 5.278,00
328	28/06/2026	SANGOU	DN08	USAGI	5	R$ 83,00	R$ 415,00
329	23/05/2026	NAOMIS	DN15	RYUK	5	R$ 754,00	R$ 3.770,00
330	29/05/2026	SPDSTB	DN12	NARAKI	9	R$ 129,00	R$ 1.161,00
331	05/06/2026	DBZ241	DN11	ANNA	8	R$ 178,00	R$ 1.424,00
332	20/07/2026	NAOMIS	DN14	SOUN	3	R$ 64,00	R$ 192,00
333	17/02/2026	DS-SC	DN04	SOUN	3	R$ 28,00	R$ 84,00
334	12/01/2026	EREH69	DN27	NARAKI	4	R$ 556,00	R$ 2.224,00
335	14/03/2026	EREH69	DN21	RYUK	5	R$ 70,00	R$ 350,00
336	08/11/2026	DBZ241	DN03	RYUK	3	R$ 28,00	R$ 84,00
337	06/04/2026	KIRA04	DN24	SOUN	3	R$ 136,00	R$ 408,00
338	25/08/2026	WLLTTN	DN10	NARAKI	2	R$ 12,00	R$ 24,00
339	08/04/2026	DS-SRA	DN27	SOUN	9	R$ 556,00	R$ 5.004,00
340	12/01/2026	XXLTTN	DN28	NABIKI	8	R$ 223,00	R$ 1.784,00
341	16/02/2026	AGOME1	DN33	NABIKI	3	R$ 234,00	R$ 702,00
